,Ingresos,Total_gastos,Balance
1984,40422,39928,494
1985,42294,44379,-2085
1986,43649,42146,1503
1987,44917,45866,-949
1988,48053,46117,1936
1989,49316,45705,3611
1990,49704,46740,2964
1991,46944,49465,-2521
1992,50894,50223,671
1993,52348,51854,494
1994,55979,54005,1974
1995,57627,58059,-432
1996,56953,61967,-5014
1997,62627,66103,-3476
1998,63324,80860,-17536
1999,63979,69033,-5054
2000,64781,73210,-8429
2001,66081,78237,-12156
2002,66135,77363,-11228
2003,67336,79273,-11937
2004,71276,85750,-14474
2005,71980,91579,-19599
2006,78164,93861,-15697
2007,85143,101457,-16314
2008,86999,121037,-34038
2009,95146,118658,-23512
2010,98338,129346,-31008
2011,103861,131242,-27381
2012,115540,147091,-31551
2013,121673,174805,-53132
2014,138648,181011,-42363
2015,132643,192898,-60255
2016,134433,201739,-67306
2017,141354,176437,-35083
2018,138513,219050,-80537
