4. Sólo incluye las Inversiones Financieras de la Caja de Seguro Social.,,,,,,,,
MINISTERIO DE ECONOMÍA Y FINANZAS,,,,,,,,
DIRECCIÓN DE PRESUPUESTO DE LA NACIÓN,,,,,,,,
EJECUCIÓN PRELIMINAR DEL PRESUPUESTO MODIFICADO DE FUNCIONAMIENTO E INVERSIONES                                                         ,,,,,,,,
"DEL SECTOR PÚBLICO, SIN TRANSFERENCIAS INTERINSTITUCIONALES AL 31 DE AGOSTO DE 2019",,,,,,,,
(En Millones de Balboas),,,,,,,,
,,,,,,,,
Detalle,Funcionamiento,,,,Inversión,,,
,Ley,Modificado,Ejecutado *,Ejecución (%),Ley,Modificado,Ejecutado *,Ejecución (%)
Sector Público,"14,672.9","14,653.7","8,904.6",60.8%,"8,996.4","9,039.4","4,496.2",49.7%
Sector Público No Financiero,"13,701.0","13,681.8","8,460.3",61.8%,"5,635.8","5,675.7","2,566.6",45.2%
Gobierno Central,"7,884.8","7,850.0","5,245.2",66.8%,"3,227.6","3,273.9","1,966.1",60.1%
Ambiente,33.6,33.5,19.4,57.8%,36.0,36.1,13.3,36.9%
Asamblea Nacional,104.1,107.6,54.7,50.8%,19.1,19.1,6.4,33.5%
Comercio e Industrias,35.8,36.7,18.7,51.0%,2.2,2.3,1.8,78.0%
Contraloría General de la República,104.3,103.0,59.6,57.9%,4.0,5.3,3.3,62.5%
Defensoría del Pueblo,5.4,5.5,3.3,61.3%,0.4,0.4,0.2,36.9%
Desarrollo Agropecuario,64.3,64.2,37.7,58.7%,95.6,129.2,105.3,81.5%
Desarrollo Social,30.1,29.7,17.7,59.6%,255.6,256.2,197.8,77.2%
Economía y Finanzas,592.7,594.4,290.0,48.8%,190.0,150.2,89.2,59.4%
Educación,"1,394.2","1,394.2",889.3,63.8%,229.0,234.4,142.3,60.7%
Fiscalía General de Cuentas,3.2,3.2,1.9,60.1%,0.1,0.2,0.1,73.8%
Fiscalía General Electoral,7.1,6.9,4.1,58.8%,0.1,0.3,0.2,68.2%
Gobierno,115.9,118.9,75.5,63.6%,31.3,31.8,14.5,45.6%
Obras Públicas,36.2,36.2,20.4,56.4%,"1,066.1","1,035.0",546.3,52.8%
Órgano Judicial,162.9,163.7,104.1,63.6%,20.7,20.7,4.2,20.1%
Otros Gastos de la Administración,37.0,37.1,22.6,61.0%,-,-,-,-
Presidencia de la República,242.3,239.3,129.4,54.1%,485.7,553.6,383.3,69.2%
Procuraduría de la Administración,6.5,6.5,4.0,61.0%,0.3,0.3,0.1,44.8%
Procuraduría General de la Nación,158.1,158.0,94.7,59.9%,18.5,18.5,9.3,50.1%
Relaciones Exteriores,63.9,62.3,28.7,46.1%,2.2,4.2,2.8,66.3%
